id,created_at,direction,command,text,success,error
32,2026-07-13T15:33:37.118418+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:33
건수=4
해외 CRAN 매수접수 +$10.20 x2 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x2 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x2 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x2 전략=VWAP+VOL+RSI 주도=VWAP",1,
33,2026-07-13T15:34:46.895189+00:00,received,/lab_portfolio,/lab_portfolio,1,
34,2026-07-13T15:34:53.362787+00:00,sent,,"[KIS][포트폴리오]
시각=7월 14일 00:34
─── 실보유 종목 ───
국내 002990 수량=52 매입=16,840원 현재=16,820원 손익=-0.12%
국내 042660 수량=11 매입=82,200원 현재=82,800원 손익=+0.73%
국내 058730 수량=184 매입=5,310원 현재=4,925원 손익=-7.25%
해외 MSEX 수량=522 매입=$54.1040 현재=$54.8150 손익=+1.31%
─── 실보유 리스크 ───
국내 002990 손익=-17.04% 기준=-1.00% 수량=52 상태=감시중
국내 042660 손익=-4.14% 기준=-1.00% 수량=11 상태=감시중
국내 058730 손익=-10.26% 기준=-1.00% 수량=184 상태=감시중
─── 보유상태 불일치 ───
해외 CRAN 내부기록=1주 조회결과=없음 조치=재조회 또는 /lab_orders 확인
─── 가상보유 종목 ───
국내 002990 수량=52 매입=16,840원 현재=16,820원 손익=-0.12%
국내 042660 수량=11 매입=82,200원 현재=82,800원 손익=+0.73%
국내 058730 수량=184 매입=5,310원 현재=4,925원 손익=-7.25%
해외 INVA 수량=298 매입=$22.2400 현재=$22.4600 손익=+0.99%
해외 MSEX 수량=522 매입=$54.1040 현재=$54.8150 손익=+1.31%
해외 QFIN 수량=503 매입=$13.2000 현재=$12.7850 손익=-3.14%
─── 가상보유 리스크 ───
국내 058730 손익=-7.25% 기준=-1.00% 수량=184 상태=감시중
해외 QFIN 손익=-3.14% 기준=-1.00% 수량=503 상태=감시중
─── 가상 노출 ───
해외 가상매수노출=$13,267.12 2종목 한도=주문가능USD x50% 최근한도=$54.81 상태=초과 포지션한도=2/8 정상
─── 정산 대기 매도 ───
정산대기=없음
─── 누적 성과 (virtual) ───
성과=없음",1,
35,2026-07-13T15:35:05.853783+00:00,sent,,"[KIS][거래알림]
시각=7월 14일 00:35
건수=4
해외 CRAN 매수접수 +$10.20 x1 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x1 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x1 전략=VWAP+VOL+RSI 주도=VWAP
해외 CRAN 매수접수 +$10.20 x1 전략=VWAP+VOL+RSI 주도=VWAP",1,
36,2026-07-13T15:35:18.910835+00:00,received,/lab_guard,/lab_guard,1,
37,2026-07-13T15:35:19.960851+00:00,sent,,"[KIS][전략가드]
시각=7월 14일 00:35
상태=활성
범위=최근 48시간
차단조건=3건 이상, 평균순손익 -0.30% 이하
감시대상=overseas:RSI,VOL,VWAP
고정차단=해외 VWAP단독,해외 RSI단독,해외 VOL단독
주의=실주문접수 SELL_REAL 기준, 체결확정은 /lab_orders 확인
해외 VWAP+RSI 상태=참고 4건 승률=0% 평균순=-2.27%
해외 VOL+RSI 상태=참고 1건 승률=0% 평균순=-1.20%
국내 VWAP 상태=참고 1건 승률=0% 평균순=-0.28%
해외 VWAP 상태=감시 1건 승률=100% 평균순=+2.25%",1,
38,2026-07-13T15:35:33.648767+00:00,received,/lab_cancel_stale_domestic,/lab_cancel_stale_domestic,1,
39,2026-07-13T15:35:34.824126+00:00,sent,,"[KIS][국내미체결취소]
시각=7월 14일 00:35
동작=확인
대상=없음 (30분 이상 국내 미체결 없음)",1,
40,2026-07-13T15:35:42.739598+00:00,received,/lab_cancel_stale_overseas,/lab_cancel_stale_overseas,1,
41,2026-07-13T15:35:44.016162+00:00,sent,,"[KIS][해외미체결취소]
시각=7월 14일 00:35
동작=확인
대상=1건
7월 13일 22:58 해외 MSEX 매도미체결 $55.5950 x522 주문번호=40077 경과=1시간37분 주의=장기미체결
주의=확정 명령을 보내면 위 해외 미체결 주문을 KIS에 취소 요청합니다.
실행=/lab_cancel_stale_overseas_confirm",1,
