id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles,entry_price,qty_executed,net_pnl_usd,net_pnl_krw,commission_usd,commission_krw,is_virtual,orderable_qty,stock_name,hold_duration_min,entry_time,exit_cooldown_remaining,cb_active,pool_size
42333,2026-07-09T16:25:51.157224+00:00,overseas,PCAP,NASD,SKIP,sell:net_profit_below_cost,10.29,,2763,51.096787634135296,0.0009994003597841295,-0.0009708737864079187,0.0,10.295555555555556,10.30142857142857,26.2811,518,,,80c833411326,VWAP,VWAP,1,10.291582498425823,0.00019524065135989588,0.0019088579010804406,0,-0.0009708737864079187,0.003750000000000586,0.0,0,,,,,,,,,2763,PCAP,,,8.0,0,10
43451,2026-07-09T17:19:10.620989+00:00,overseas,BBIO,NASD,BUY_REAL,pullback_entry,90.44,0.0,293,43.20605885659224,2.1983399304618207,-0.0004861341288256672,0.0007300884955750916,90.03723333333333,89.79119523809524,3137.9994,627,0.0,0.0,80c833411326,VWAP,VWAP,1,89.91349728040886,0.10517677245447032,-0.04616431391199281,0,-0.0051699483005169826,0.5206249999999955,0.0,0,,90.44,293,0.0,0.0,66.2473,0.0,0,0,BBIO,0.0,2026-07-09T17:19:10.620989+00:00,0.0,0,13
43761,2026-07-09T17:35:28.535807+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,318.96,,61,,,,,,,-237.2324,1,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43774,2026-07-09T17:36:05.878412+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.88,,61,,,,,,,-305.2289,2,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43787,2026-07-09T17:36:55.134827+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,318.125,,61,,,,,,,-289.227,3,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43800,2026-07-09T17:37:33.207628+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,318.46,,61,,,,,,,-269.2261,4,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43813,2026-07-09T17:38:23.082369+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.91,,61,,,,,,,-303.2256,5,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43826,2026-07-09T17:39:00.210813+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.31,,61,,,,,,,-339.2219,6,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43839,2026-07-09T17:39:51.131972+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.53,,61,,,,,,,-327.2209,7,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43852,2026-07-09T17:40:27.411330+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.11,,61,,,,,,,-353.2198,8,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43865,2026-07-09T17:41:18.239597+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.69,,61,,,,,,,-317.2174,9,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43878,2026-07-09T17:41:57.000817+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,318.0,,61,,,,,,,-297.2167,10,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43891,2026-07-09T17:42:48.678574+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.0,,61,,,,,,,-359.2164,11,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43904,2026-07-09T17:43:26.026643+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.13,,61,,,,,,,-351.2132,12,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43917,2026-07-09T17:44:18.969442+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.495,,61,,,,,,,-329.212,13,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43930,2026-07-09T17:44:57.226472+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.0,,61,,,,,,,-359.2108,14,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43943,2026-07-09T17:45:50.020871+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.065,,61,,,,,,,-355.2089,15,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43956,2026-07-09T17:46:27.163189+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.71,,61,,,,,,,-315.2074,16,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43969,2026-07-09T17:47:18.085889+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.57,,61,,,,,,,-323.2062,17,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43982,2026-07-09T17:47:53.067673+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.67,,61,,,,,,,-317.2036,18,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
43995,2026-07-09T17:48:43.182495+00:00,overseas,ALNY,NASD,SKIP,sell:order_rejected,317.395,,61,,,,,,,-335.2025,19,,,fd0fd634740f,RSI,RSI,1,,,,,,,,0,,,,,,,,,61,ALNY,,,0.0,0,18
44008,2026-07-09T17:50:00.705761+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,317.715,,61,,,,,,,-315.1999,1,,,7e84485347cd,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,19
44105,2026-07-09T17:55:46.148229+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,318.12,,61,,,,,,,-289.1764,9,,,7e84485347cd,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,19
44202,2026-07-09T18:01:35.568903+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,319.895,,61,,,,,,,-179.1469,17,,,302ac412ff47,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,19
44216,2026-07-09T18:02:58.859449+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,318.395,,61,,,,,,,-273.1432,1,,,ccc8b1b9499d,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,21
44295,2026-07-09T18:08:15.669582+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,321.075,,61,,,,,,,-107.1144,8,,,d4c59a0b86dd,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,21
44387,2026-07-09T18:14:04.055108+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,321.57,,61,,,,,,,-77.0644,15,,,d4c59a0b86dd,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,21
44414,2026-07-09T18:15:56.148476+00:00,overseas,SMPL,NASD,BUY_REAL,[VWAP] strategy_buy_signal,13.265,0.0,1801,48.11165634385231,0.15948911906706206,0.0022684310018904453,0.00378644452858771,13.162677777777779,13.26614761904762,705.1666,17,0.0,0.0,d4c59a0b86dd,VWAP,VWAP,1,13.367042139058288,-0.053770860000678766,-0.06332385250877506,0,0.0007544322897019831,0.06084999999999985,0.0,0,,13.265,1801,0.0,0.0,59.725662,0.0,0,0,SMPL,0.0,2026-07-09T18:15:56.148476+00:00,0.0,0,21
44468,2026-07-09T18:19:35.573278+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,321.74,,61,,,,,,,-65.022,21,,,d4c59a0b86dd,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,21
44553,2026-07-09T18:24:42.635977+00:00,overseas,ALNY,NASD,SKIP,sell:no_orderable_qty,321.76,,61,,,,,,,-64.9835,27,,,d4c59a0b86dd,RSI,RSI,1,,,,,,,,0,,,,,,,,,0,ALNY,,,0.0,0,21
44582,2026-07-09T18:27:15.429525+00:00,overseas,ALNY,NASD,SELL_REAL,stop_loss,322.129,-0.04811028042906535,61,,,,,,,-40.9706,1,-993.1410000000003,-1340740.3500000003,0d5e3918d02d,RSI,RSI,0,,,,,,,,1,0,339.675,61,-1171.635897,-1581708.46,49.52946,66864.77,0,61,ALNY,1.81,2026-07-09T18:25:26.751226+00:00,,1,21
