id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade
13769,2026-07-06T06:24:43.842358+00:00,overseas,NFLX,NASD,HOLD,vr=1.8x mom=+0.15%,77.65,-0.007058643001457667,78,48.57797700321159,1.795935296557445,0.0015473887814313934,0.0009020618556701983,77.55696666666667,77.51143809523809,100.7655,1314,,,1d30606ac920,VWAP+RSI,VWAP,1
13770,2026-07-06T06:24:43.847832+00:00,overseas,ADBE,NASD,HOLD,vr=2.4x mom=-0.06%,219.72,-0.004034268618829676,51,51.99035636802789,2.4259055982436886,-0.0006367978166931378,0.0,219.84696666666665,220.02095714285713,87.5065,1314,,,1d30606ac920,VWAP+VOL,VWAP,1
13771,2026-07-06T06:24:43.853174+00:00,overseas,COIN,NASD,HOLD,vr=3.9x mom=+0.42%,165.48,0.00272677694964545,57,51.2398057567307,3.9443699731903488,0.0042424242424241735,-7.241479192816728e-05,165.0472888888889,165.11399047619048,84.725,1314,,,1d30606ac920,VWAP+VOL,VWAP,1
13772,2026-07-06T06:24:43.858896+00:00,overseas,PLTR,NASD,HOLD,vr=0.8x mom=+0.18%,129.3,-0.0029302899444786814,47,70.68284545670826,0.8314696182858876,0.0017753763025857951,0.0013116271892599912,129.64927777777777,129.75054285714285,74.6332,1314,,,1d30606ac920,,,1
13773,2026-07-06T06:24:43.864035+00:00,overseas,MSFT,NASD,HOLD,vr=1.5x mom=+0.01%,390.49,-0.002070023000255564,31,50.94032843020913,1.4922221077572886,9.442578248650676e-05,7.676757337693573e-05,390.7320222222222,390.575519047619,60.0611,1314,,,1d30606ac920,VWAP,VWAP,1
13774,2026-07-06T06:24:43.870510+00:00,overseas,ABBV,NYSE,WAIT,signal_unavailable,261.07,-0.0001531921412432326,29,,,,,,,0.0,1314,,,1d30606ac920,,,1
13775,2026-07-06T06:24:43.875336+00:00,overseas,BA,NYSE,WAIT,signal_unavailable,226.49,0.0017692069529833504,30,,,,,,,0.0,1314,,,1d30606ac920,,,1
13776,2026-07-06T06:24:43.885583+00:00,overseas,CVX,NYSE,WAIT,signal_unavailable,169.2,0.00469093284246774,19,,,,,,,0.0,1314,,,1d30606ac920,,,1
13777,2026-07-06T06:24:43.890916+00:00,overseas,KO,NYSE,WAIT,signal_unavailable,84.14,0.0050767484919070315,87,,,,,,,0.0,1314,,,1d30606ac920,,,1
13778,2026-07-06T06:24:43.896040+00:00,overseas,MA,NYSE,WAIT,signal_unavailable,539.39,0.0017308685171360002,7,,,,,,,0.0,1314,,,1d30606ac920,,,1
13779,2026-07-06T06:24:43.901793+00:00,overseas,NEE,NYSE,WAIT,signal_unavailable,88.34,0.006551586623369257,133,,,,,,,0.0,1314,,,1d30606ac920,,,1
13780,2026-07-06T06:24:43.907668+00:00,overseas,NKE,NYSE,WAIT,signal_unavailable,44.09,0.008232334781614602,90,,,,,,,0.0,1314,,,1d30606ac920,,,1
13781,2026-07-06T06:24:43.914584+00:00,overseas,PFE,NYSE,WAIT,signal_unavailable,24.32,-0.001314060446780553,421,,,,,,,0.0,1314,,,1d30606ac920,,,1
13782,2026-07-06T06:24:43.920286+00:00,overseas,V,NYSE,WAIT,signal_unavailable,362.13,0.005665250354078204,20,,,,,,,0.0,1314,,,1d30606ac920,,,1
13783,2026-07-06T06:24:43.925594+00:00,overseas,PLBL,NASD,WAIT,trend_down,10.26,,0,45.70476595833323,2.388535031847134,0.0011111111111111417,0.00012770137524563093,10.205355555555556,10.220780952380952,424.7904,1314,,,1d30606ac920,,,1
13784,2026-07-06T06:24:45.654271+00:00,domestic,005930,,BUY,[VWAP] volume_low,316500.0,,0,61.74362105772344,0.908585319985781,0.0,-0.0031496062992125984,315750.0,315428.5714285714,127.0718,1314,,,1d30606ac920,VWAP,VWAP,1
13785,2026-07-06T06:24:47.335843+00:00,domestic,000660,,BUY,[VWAP] volume_low,2352000.0,,0,57.06882702389009,1.495792589636134,-0.006756756756756757,-0.001697792869269949,2357000.0,2371190.476190476,126.1039,1314,,,1d30606ac920,VWAP,VWAP,1
