id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles
21610,2026-07-06T16:21:49.330931+00:00,overseas,KO,NYSE,SELL,atr_hard_stop,82.49,-0.014632980947261643,87,40.29497292343789,0.22248800038018599,0.0016390457111637848,0.00030312215822983555,82.51236666666667,82.6548238095238,-340.9045,30,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21611,2026-07-06T16:21:49.339591+00:00,overseas,ABBV,NYSE,SELL,atr_hard_stop,255.425,-0.021772433074183303,29,33.392315473989214,0.13390969814830472,0.00019577900465958485,-0.0003326484688386966,255.44434444444445,255.78804761904763,-393.3291,30,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21612,2026-07-06T16:21:49.348588+00:00,overseas,PFE,NYSE,SELL,atr_hard_stop,23.74,-0.02513140604467813,421,18.88576866419598,0.1577759951870049,-0.0012324439826870124,0.0005098493626881562,23.760655555555555,23.730757142857144,-428.5601,30,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21613,2026-07-06T16:21:49.357738+00:00,overseas,NKE,NYSE,SELL,atr_hard_stop,42.9001,-0.01897781843128276,90,28.89021110259175,0.1718253724494036,0.004685085460079584,0.0008186588921282777,42.732777777777784,42.51244761904762,-495.0598,30,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21614,2026-07-06T16:21:49.367674+00:00,overseas,LWAY,NASD,HOLD,vr=3.2x mom=+0.10%,29.955,-0.005445067897340598,942,45.56747744135181,3.1812480401379744,0.000997672098437018,0.006016042780748653,30.07944444444444,30.186190476190475,-585.0712,30,,,246ec46763ea,VOL,VOL,1,,,,,,,,,
21615,2026-07-06T16:21:49.376482+00:00,overseas,EH,NASD,WAIT,volume_low,5.8,,0,34.660022488928675,0.12471302850583507,-0.00514579759862783,0.0017271157167529857,5.823888888888889,5.780833333333333,-1576.4859,30,,,246ec46763ea,RSI,RSI,1,,,,,,,,,
21616,2026-07-06T16:21:49.385773+00:00,overseas,SOLS,NASD,WAIT,volume_low,68.25,,0,25.47248194439574,0.23472426623719211,-0.005826656955571823,-0.00043936731107207286,68.60722222222222,68.90807142857143,-2934.4642,30,,,246ec46763ea,VOL+RSI,,1,,,,,,,,,
21617,2026-07-06T16:22:35.090427+00:00,overseas,V,NYSE,SELL,atr_hard_stop,355.6,-0.012469104945985594,20,36.10055000686814,0.4033384477011798,0.004179374223427138,0.0007218367579539708,354.42705555555557,354.1257619047619,-319.4045,31,,,246ec46763ea,VWAP,VWAP,1,,,,,,,,,
21618,2026-07-06T16:22:35.101143+00:00,overseas,KO,NYSE,SELL,atr_hard_stop,82.47,-0.014871886758645458,87,40.19603813843415,1.0670553012181792,0.0013962241243247629,6.062443164607049e-05,82.51014444444444,82.65387142857142,-352.8922,31,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21619,2026-07-06T16:22:35.110529+00:00,overseas,ABBV,NYSE,SELL,atr_hard_stop,255.4646,-0.02162077285435266,29,33.57053950972721,0.26010399932358164,0.0008614276205020843,0.0003326484688386966,255.46323333333333,255.79614285714285,-391.3261,31,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
